week,day,title,reference,summary,studyNotes,devotional,questions
45,225,The Apostles Preach the Gospel and Are Persecuted,Acts 3:1–4:31; Ps 2,"Just as Jesus predicted, and on the basis of the power he himself provided by sending the Holy Spirit, Jesus’s disciples began to boldly preach the gospel. The same Jewish leaders who conspired to kill Jesus opposed this preaching as well. Yet Peter answered the charged with respect and boldness, confident that what was happening was consistent with what God has predicted.","Acts 3, Verse 11. Portico called Solomon’s. A portico that surrounded the temple court. Chapter 4, Verse 3. Already evening. Jewish law forbids trials from taking place at night. Verse 8. Filled with the Holy Spirit. This is the same unique, special filling the apostles experienced in Acts 2. Verse 25. By the Holy Spirit. This introduction to the quote from Psalm 2 is a clear description of the fact that Scripture was written by human authors by the Holy Spirit. Verse 12. Signs and wonders. These were miraculous works of the Holy Spirit through apostles in order to authenticate them as legitimate messengers of God (2 Cor 12:12, Heb 2:3).","Acts 3–4 provide both visualizations and explanations of the gospel. The summary conclusion at the end of Acts 2 explained the activities of the infant church as well as the apostles. We were told that signs and wonders were being done by the apostles, and now we get an illustration. Peter and John are going to the temple to pray, but they first encounter a lame beggar who is unable to enter the temple because of his condition. The beggar is asking for alms, but Peter heals him in the name and power of Jesus. The lame beggar is now able to enter the temple and worship God. This is the power of the gospel on full display. Christ takes beggars and turns them into worshippers.

The marvelous miracles produce a crowd which presents another preaching opportunity for Peter. The apostle explains the gospel that has just been illustrated in the life of this beggar. Faith in Jesus, the one who was slain, is the reason for this beggar’s strengthening and salvation. Peter’s Scripture-saturated sermon boldly convicts those in Jerusalem because they “put to death the Author of life” (3:15). This is the city where Jesus was crucified, and yet this is the city where grace is being freely offered. Peter’s preaching presses guilt upon all who will listen, but he also reminds them of God’s sovereignty over their actions. God graciously offers forgiveness if they will only repent and believe. In turning from their wicked ways and turning to Christ, they will be saved. What grace! If God can save those who murdered his Son, I know he can save me.

Many of those who heard Peter’s gospel proclamation did indeed believe. However, the same temple rulers who plotted to trap Jesus less than two months earlier are greatly agitated by Peter and John’s preaching of the risen Christ. The familiar cast of opponents from the gospels gather again to oppose Jesus’s apostles just as they opposed Jesus himself. Peter and John are questioned, and Peter’s Spirit-filled response doubles down on this question of Jesus. The leaders don’t want to hear them preach the gospel of Jesus, but Peter is clear that they have no other message. This miraculous healing comes from no one except Jesus. Salvation comes from no one except Jesus. Peter and John make clear that they cannot and will not stop preaching the gospel of Jesus Christ, yet they are released. They return to the church and report what has happened. With Psalm 2 as their guide, the gathered church earnestly prays. They are filled with Scripture and Spirit. The gospel that worked in these early Christians is still at work in us today.",1. What was the content of the apostles’ sermons? 2. Why did the religious leaders arrest them? 3. What was the apostles’ response to the persecution?
46,226,The Fellowship of the Early Church,Acts 4:32–5:16,"The early Christians shared a deep fellowship with one another, rooted in their common belief in Jesus Christ. This caused them to care for each other’s needs. Yet this was not required, and the hypocritical deceit of Ananias and Sapphira revealed that joining this new called-out body of believers in Jesus Christ was not something to take lightly.","Chapter 4, Verse 32. Everything in common. This was not a forced socialism, but rather a voluntary sharing of goods. Verse 35. Distributed. The early church recognized the wisdom of having the leadership determine the best way to help those who had material needs within the congregation. Chapter 5, Verse 4. Lied. This statement, along with the parallel statement in verse 3, both demonstrates the personality and deity of the Holy Spirit. Verse 11. Church. This is the first occurrence of the Greek word ekklesia in Acts, a word that means “called out assembly” and becomes the most common word to describe assemblies of Christians. The English word “church” comes from the Greek word kuriakos, which means “belonging to the Lord” (1 Cor 11:20, Rev 1:10).","Luke’s second summary passage in Acts 4:32–35 gives us insight into the community of Christ (see 2:44–46 for the first). The Jerusalem congregation truly understood that they were one in Christ. They understood this not only spiritually but even communally. Those early Christians were committed to meeting one another’s needs if they were able. Luke’s description is not comparable to forced communism or socialism as some would suggest. The church willingly, voluntarily met one another’s needs because of the difference Christ had made in their hearts and lives. They generously gave and entrusted the distribution of their offerings to those who had need. Along with the great generosity of these early believers, there was great power due to the great preaching of the apostles and great grace was upon them all. 

Against the backdrop of this overall summary of the community of believers, we get specific examples: the positive example of Barnabas and the negative example of Ananias and Sapphira. Barnabas will later become prominent in the book of Acts as Paul’s missionary partner, but we first meet him as simply a generous, encouraging brother. In stark contrast to this good generous example of the Son of Encouragement, we also see the deceptive example of Ananias and Sapphira. We’re not told why the couple felt the need to lie to the church since there was no mandate to give the proceeds of their property sale to the church. It was clearly a voluntary matter, yet Luke is clear that both Ananias and Sapphira knew what they were doing. This was not a sin of omission or an accident. It was an intentional commission of sin. God has been on record from the beginning that he takes sin very seriously. Christ takes sin seriously in his church. The couple has tested the Lord, and they will not escape. The somber notes of divine judgment ring out over this passage. Should we in Christ’s church be any less serious about sin today? Should we quickly gloss over the Lord’s instructions concerning church discipline? This early snapshot in the life of the church reinforces what God has been telling us since the Garden when the first husband and wife sinned together: obedience brings blessings but disobedience brings consequences.

This passage also teaches us more about the Holy Spirit. Peter’s questions to Ananias in verses 3–4 make clear that the Holy Spirit is God. The Spirit is personal. He is a he, not an it, and he is God. The Spirit continues to build the church of the living God. Luke explains that taking sin seriously did not dampen church growth. Instead, the church grew “more than ever” (5:14).",1. What led the early Christians to care for each other’s needs? 2. Why were Ananias and Sapphira punished? 3. What was the purpose of signs and wonders?
46,227,The Church Chooses Deacons,Acts 5:17–6:7,"When the commands of men and God conflicted, the apostles chose to obey God, refusing to stop spreading the gospel message. Even though they were unjustly imprisoned and beaten, they rejoiced that they could suffer for the honor of Jesus’s name. This only led to the church’s increased growth, to the degree that the large numbers of Christians necessitated setting apart deacons to help meet the material needs of the congregation.","Chapter 5, Verse 34. Gamaliel. The most prominent Jewish rabbi of the time. His most well-known student was Paul (22:3). Chapter 6, Verse 1. Hellenists . . . Hebrews. “Hebrews” were native Jews that lived in Palestine, while “Hellenists” were Jews living outside Israel. Hellenists commonly absorbed Greek culture, which made the Palestinian Jews suspicious of them. Verse 2. Serve. The word translated “serve” here is diakonein, which is why the men chosen in this passage are called “deacons.” Deacons are chosen by the congregation (v. 3) and confirmed by the elders (v. 6), helping to take care of the church’s material matters so that the elders can give themselves to prayer and the ministry of the Word (v. 4).","Things were going so well at the Jerusalem church. People were being added to their number more than ever. Multitudes were coming to Christ. People’s lives were being changed. This surge in popularity surely means nothing will go wrong with the people of God, right? There’s a certain prosperity gospel among even conservative Christians that falls prey to this type of thinking. Things are going so well with the Jerusalem church, how could God allow persecution to rear its Satanic head again?

Not only are Peter and John arrested again, but this time the whole band of apostles are placed in the public jail. The jealous high priest and his gang of Sadducees (who don’t believe in a resurrection) think they will be able to put a stop to all of this preaching about the resurrection of Jesus. Yet, the opposition of the state is no match for God. This comical scene unfolds in such a way to strengthen and encourage the church: nothing will stop the gospel of God. 

An angel of the Lord delivers the apostles from prison and the night and tells them to go back to the temple and continue preaching. Meanwhile, the mighty, powerful rulers of Israel summon the jailhouse for the prisoners to be brought to receive their proper punishment. The officers must sheepishly report back: The jail is secure. The guards are on duty. But the prisoners are gone! As the chief priests and the captain of the guard stand there perplexed, someone reports: “They’re at it again! Those men are preaching in the temple again!” The apostles peacefully return with the captain. The high priest pleads, “We told you to stop preaching. We told you to stop condemning us. You haven’t stopped!” Peter’s words echo down to us today: “We must obey God rather than men” (5:29). God not only thwarts the plans of the leaders, he uses one of their own to persuade them to not kill the apostles. 

Opposition to the gospel did not hinder the growth of the church, it only strengthened the preachers. The suffering they received did not silence them; they rejoiced that they were worthy to suffer shame for Christ. Oh how different is their thinking from ours today. The church continues to grow to the point that the apostles need assistance in ministering to the physical needs of the church. The apostles will devote themselves to prayer and the service of the Word. The congregationally chosen and pastorally blessed deacons will aid in the service of the tables. And the word of God keeps spreading. Even priests are coming to faith in Christ. Despite opposition and moments of division, things truly are going well.",1. What was the response of the apostles to their imprisonment? 2. What was Gamaliel’s advice to the council? 3. What is the purpose and role of deacons within the church?
46,228,"Stephen, the First Christian Martyr",Acts 6:8–8:3,"Persecution against the new Christians reached a climax with the martyrdom of Stephen, one of the first deacons of the church. Stephen proclaimed a clear message to his Jewish audience, arguing through an extended rehearsal of God’s work in the Old Testament that God cannot be contained. This was an indictment against the unbelieving Jews and laid an important theological basis for the evangelization of the whole world.","Chapter 6, Verse 8. Stephen. One of the men chosen to be a deacon (v. 5). Verse 9. Synagogue. This verse appears to describe people from three synagogues: (1) the Freedmen, descendants of freed Jewish slaves living in Rome, (2) Cyrenians and Alexandrians, those from two cities in North Africa, and (3) Cilicians and Asians, those from Romans provinces in Asian Minor. Paul likely attended the synagogue in Cilicia.","The early church chose Stephen as their first deacon, a man full of faith and of the Holy Spirit (6:5). The text of Scripture zooms in on Stephen as the gospel continues to go to the ends of the earth. The apostles have faced hostility and opposition, and so too does the first deacon. Stephen is marked by the power of the Holy Spirit, just as Jesus had promised before he ascended (1:8). When his enemies could not defeat him in debate, they began to spread lies about Stephen hoping to create false charges against him that would lead to his death. It worked with Jesus, perhaps it will work with Stephen. Yet, as Stephen stands trial, he is marked by a remarkable peace that manifests itself in his appearance. After all, Christ did promise to be with his disciples even to the end of time (Matt 28:20).

Like the apostles, this deacon does not miss the opportunity to proclaim God’s Word. Stephen’s defense does not look like a legal strategy but instead is a sermon. He tells the story of how the God of glory has been at work among his people Israel since the days of Abraham. He tells the story of God’s people to that generation of God’s people. Moving from Abraham to Joseph to Moses, Stephen skillfully tells the story of God’s faithfulness to his people. Then he moves to their unfaithfulness. The sermon sounded fine until Stephen applied the text to his actual audience. When he connected the dots between the stiff-necked, hard-hearted people in the past and the ones putting him on trial in the present, they became furious. The sermon and the trial are over as far as this jury is concerned. Stephen is unfazed as he gazes into heaven and sees Christ standing at the right hand of God. Upon hearing of his vision, the gathered congregation drive Stephen outside of the city and stone him to death. Stephen’s dying prayers sound like the prayers of our Lord. He truly was full of the Holy Spirit. 

The martyrdom of Stephen leads to much persecution in the early church. Yet, the Lord uses this to scatter the gospel to Judea and Samaria (1:8). The passage ends with the threat of Saul raging. The one who held the coats for the murderers becomes a murderer himself. His hearty agreement with their actions toward Stephen is followed by his own personal missionary trip to stamp out Christianity. Yet we know this is not the end of Saul’s story. The Holy Spirit will take the stiff-necked Saul and give him a new missionary heart. The living Christ continues to build his church.",1. Why were the Jews upset with Stephen? 2. What was Stephen’s primary message to the people? 3. What was the response of the people?
46,229,The Conversion of Samaritans and the Ethiopian Eunuch,Acts 8:4–40,"After Stephen’s martyrdom forced Christians to flee Jerusalem, the gospel began to spread to more than just Jews. Samarians, a mixture of Jewish and Gentile ancestry, believed Philip’s message and were baptized with the Spirit into the same church. Likewise, a cursed Jewish proselyte from Ethiopia was likewise joined to the church when he believed in Christ. All who call upon the name of the Lord, regardless of ethnicity, become part of the church.","Verse 4. Philip. One of the men chosen to be a deacon (6:5) and the first to be given the title “evangelist” (21:8). Verse 15. Receive the Holy Spirit. In a manner that was not to become typical, God chose to delay baptizing the new Samaritan converts with the Spirit in order to authenticate that this truly was of God since these were the first non-Jewish converts. They likely spoke in tongues when they received the Spirit (v. 17), just like the Day of Pentecost (2:4) as authentication. Normally, every Christian is baptized with the Spirit into the body of Christ at the moment of salvation (1 Cor 12:13). Verse 27. Eunuch. Although this Gentile governmental official from Ethiopia was apparently a convert to Judaism, his physical emasculation prevented him from entering the Jewish assembly (Deut 23:1). Verse 28. Isaiah. He was reading in Isaiah 53.","As God’s people are scattered, so is the gospel scattered. Persecution in the aftermath of Stephen could have spelled the end of the young church, but it actually was God’s means for spreading his people with his messages to his nations. After telling us the story of the first deacon Stephen, now Luke tells us of what the Lord did in the ministry of Philip. Do you remember what Jesus told the apostles that the gospel would go? From Jerusalem to Judea and to Samaria. Samaria would be where most Jewish men would not want to go, due to long standing prejudice and generations of hostility. But where do we see Philip take the good news? Samaria. The Spirit is at work through Philip doing the same mighty acts Jesus had done.

The variety of vignettes given in Scripture can sometimes raise more questions than God intended to answer us at that time. Did Simon the Sorcerer make a false profession of faith? Was he a sincere convert who was sincerely wrong about the Spirit? Was the man known as “the Great Power of God” merely fascinated with the great signs and miracles he observed? It’s not clear if Simon’s repentance was sincere. What is clear is that the Spirit is not only for the Christians in Jerusalem and Judea. The Holy Spirit indwells the believers in Samaria just as he has the believers in Jerusalem and Judea. God sovereignly chose to delay baptizing the saints of Samaria in his Spirit in order to make this very point. We will see a few other examples of this sort of thing in Acts, but the rest of the New Testament testifies that every individual Christian is endwelled with the Spirit into the body of Christ at the moment they are saved (1 Cor 12:13).

The Spirit also led Philip to dialogue with an Ethiopian eunuch, who was returning from Jerusalem. As a eunuch he would not have had the full privileges of worshiping God, yet he is wrestling with the words of God trying to understand the message. The Spirit graciously uses Philip to open the Scriptures to this man, resulting in his profession of faith. In this missionary context where the eunuch will be the first believer among his people, Philip baptizes him immediately and sends him on his way rejoicing and returning to preach the good news to his own people. Philip himself is moved by the Spirit elsewhere. Many things in this passage may have been descriptive of the historical event rather than being prescriptive for our Christian practice today. Nonetheless the saving message of Isaiah 53 is still used today to save many for his glory.",1. Why would it have been surprising for a Samaritan to join Jews in becoming Christians? 2. Why did God delay baptizing the Samaritan converts with the Holy Spirit? 3. Why would it have been surprising for an Ethiopian eunuch to become a Christian?
46,230,The Conversion of Saul,Acts 9:1–31,"God supernaturally converted Saul, a man committed to the destruction of Christians, on the road to Damascus. Yet all conversions are supernatural, though they may not happen in as dramatic a fashion. God uniquely called Saul to be his minister to the Gentiles, spreading the gospel and seeing many churches formed.","Verse 2. Damascus. The ancient capital of Syria, northeast of Jerusalem. Verse 10. Ananias. The leader of the church in Damascus. Verse 11. Tarsus. A city in the Roman province of Cilicia in Asian Minor. Verse 17. Filled with the Holy Spirit. This is the same unique empowering for ministry given to the apostles in Acts 2. Verse 23. Many days. Saul spent three years in the Arabian desert, where God uniquely prepared him for the ministry to which he was called (Gal 1:17–18). Verse 30. Caesarea. A city on the north coast of the Mediterranean Sea.","The Spirit is at work. The gospel is advancing. Our focus has been on Stephen and then Philip just long enough that we may have forgotten the threat of Saul. Saul is still breathing threats and murder against the disciples of the Lord. He’s seeking Christians whom he may devour. Paul believes the Way must be stopped, but on his way Saul is stopped. The Lord sovereignly, graciously changes a hardened opponent of the faith and he changes him into a faithful follower. Saints, our testimonies may not be as dramatic as Paul’s, but it is no less miraculous. It took just as much of God’s grace to save you and me as it took to save Paul. What a comfort this truth should be in the life of a believer. Our Lord so closely identifies with his church that while Saul has been violently opposing the church of Jesus Christ, and Jesus says that Saul has been opposing Christ himself. After all, Jesus did promise to be with us. What a comfort this truth should be in the life of a believer.

The Lord atoned for Paul’s past in an instant and changed his future forever, but in the present many people are still afraid of this man Saul. Word had traveled from Jerusalem to Damascus and the disciple Ananias already knew of Paul’s reputation when instructed to lay hands on Saul. Obedient to Christ, Ananias goes to Paul, calling him brother as the Spirit fills Paul and strengthens him for service. The disciples of Damascus welcome Paul, but the Jews are bewildered. Is this not the one who was supposed to extinguish all talk of the Way? Now he is spreading the fire that Jesus is the Way, the Truth, and the Life. Saul is persuading many that Jesus is the Christ. Now Paul must be stopped like Stephen and Jesus before him. Paul faithfully flees this danger and escapes, for the Lord has much work for him to do.

The Jerusalem church is not as welcoming to Paul at first as the disciples in Damascus. They doubt he is truly a believer. Barnabas the Encourager vouches for Paul, so he begins boldly preaching in Jerusalem. Paul already seems to have a unique ministry with Greek-speakers (the Hellenists). God has plans for this man Paul. The Spirit is alive and at work in his church. Threats, jail, and even martyrdom cannot stop the work of the Spirit. Christ will build his church. The gospel has spread from Jerusalem to Judea and Samaria. Despite the threats, the church is at peace and being built up. What a comfort this reality should be in the life of the church today.",1. Why did Saul want to persecute Christians? 2. What are some evidences that Saul was completely transformed? 3. To what ministry did God uniquely call Saul?
47,231,Peter’s Early Ministry,Acts 9:32–43; Ps 141,"While Jesus called Paul to be the primary apostle to the Gentiles, Peter, too, had a successful ministry among them as well. Despite future tensions between these two men, both Paul and Peter served the same Lord and committed their life to the same mission of the spreading the good news of forgiveness from sin for those who trust in Christ.","Acts 9, Verse 32. Lydda. A central city situated at the meeting of roads from Egypt to Syria and from Joppa to Jerusalem. Verse 36. Joppa. A coastal town. Verse 43. Tanner. Tanners were shunned by Jews since they handled the skins of dead animals.","Christ has dramatically saved Saul and commissioned him as an apostle to the Gentiles, but he is not the only apostle to the Gentiles. Luke shifts the narrative’s focus back to Peter who is continuing to take the gospel to the ends of the earth. Oh the progress the Spirit has made in Peter! He has gone from a denier of Christ to becoming a bold preacher of the gospel in the midst of persecution. We last saw Peter preaching the gospel to the Samaritans (8:25), and now he is going “here and there among them all” (9:32 ESV). The gospel goes forth.

The Book of Acts will soon shift to focus primarily on the ministry of the Apostle Paul, but the author still has more to say to us about the ministry of Peter. Bible students have noticed what a balanced portrait Luke gives in the parallel narratives of Peter and Paul. Just as Paul will do miraculous healings and raise the dead, so does Peter. Should this surprise us? They preach the same gospel. The same Spirit is at work in them both. As we will later see Paul often traveling the major trade routes, so we see Peter doing the same thing. Peter is about 23 miles northwest of Jerusalem when he comes to Lydda. He finds a man with a debilitating paralysis that has left him bedridden for eight years. This sounds like the same type of severe illness that Jesus often faced in his ministry (like the paralytic who was let down through the roof in Mark 2). Peter has the same healing success that our Lord had, yet Peter knows it is not his own strength of power that made any difference: “Aeneas, Jesus Christ heals you” (9:34). Christ is building his church. 

Peter continues on the road to the sea to the town of Joppa. In Lydda Peter had found an unbelieving man (“a certain man”) and healed him, but in Joppa he found a believer named Tabitha (Dorcas in Greek) who had died. She would appear to be beyond the point of helping and yet rather than immediately burying her, the saints had placed her in an upper room and sent for Peter. Perhaps the powerful apostle can make a difference. In another scene that reminds us of Jesus’s power over death in Mark 5, Peter prays for Tabitha and the Lord answers the prayer. Just as we saw in Jesus’s ministry, the miraculous wonders validate the messengers who are preaching the gospel. Because of the signs done through Peter, people hear the saving gospel of Jesus and believe. Christ is continuing to build his church.","1. How were Peter’s miracles similar to miracles Jesus performed? 2. Why was it remarkable that Peter stayed in Joppa with Simon, a tanner? 3. What should be our prayer when we find ourselves in trouble?"
47,232,Gentiles Are Added to the Church,Acts 10:1–11:18,"The conversion of Cornelius marks the first significant occurrence of Gentiles coming to faith in Christ and being added to the church. God uniquely informed Peter that division between Jews and Gentiles was abolished in the church. The Holy Spirit visibly demonstrates that God accepts Gentiles, too, by granting them the gift of tongues, just as he had for the apostles and the Samaritans.","Chapter 10, Verse 2. Feared God. This indicates that Cornelius had forsaken his pagan religion and converted to worshiping the God of the Jews. Verse 12. All kinds of animals. These included both clean and unclean animals in terms of Jewish dietary restrictions (cf. Lev 11:25–26). Verse 44. Holy Spirit fell. Because this was the first public occurrence of significant Gentiles coming to faith and uniting with Christ’s body, the Holy Spirit chose to visibly demonstrate the unity of the church—Jews and Gentiles—by giving them the gift of tongues. Chapter 11, Verse 2. Circumcision party. Jewish Christians.","Luke wants us to know that something big is happening in Acts 10:1–11:18. We know this by the amount of space he gives to this narrative; it’s the longest in the book. We know this by the way things are repeated multiple times in the text. What is this big deal Luke tells us about? Gentiles are brought into the church of Jesus Christ.

We first meet Cornelius who is a Roman centurion, but more importantly is a “God-fearer.” Cornelius has been praying, and now an angel appears telling him that his prayers will be answered. Apparently these prayers will be answered through Peter, whom Cornelius must summon. But where is Peter? In the house of Simon the tanner, a profession that would have made him an outcast among the Jews because of the continual handling of dead animal skins. The Lord is already preparing Peter for an even greater dividing wall of partition to be broken down (Eph 2:14).

The Lord uses Peter’s hunger and devoted time of prayer to make clear what Jesus had already done in Mark 7:19: he has declared all foods clean. There’s an even greater point to be made as the story progresses. Peter travels with Cornelius’s servants back to Caesarea and hears the vision of this righteous and God-fearing centurion. As he begins preaching, he states clearly that God shows no partiality between nations; anyone from any nation came to God through Christ. Before Peter is even finished preaching, it becomes clear that the Holy Spirit has been poured out on these Gentiles. The same sign of tongues that marked the Jewish believers at Pentecost now marks this first harvest of Gentiles at Cornelius’s house. These new Christians are baptized in the name of Jesus Christ just as the rest of the Christians have been. Truly God shows no partiality.

Word spreads throughout Judea that the Gentiles have received the word of God. The apostles and many faithful brothers seem to have no issue with what God has done, and yet there are some of the circumcision party in Jerusalem who indeed show partiality. Like the food they’ve viewed as unclean for centuries, they have a hard time not thinking of Gentiles as unclean. Peter begins to give a defense of all that God has done, both through his vision and through the Spirit coming upon the Gentiles. The Spirit has baptized the Gentiles into Christ just as he has baptized Jewish converts into Christ. God has granted repentance that leads to life to Jew and Gentile alike. Who was Peter to prevent God’s way? Let us never prevent God’s gospel from going forth.",1. Why did God give Peter the vision of the animals? 2. Why was it so significant that the Holy Spirit came upon the Gentile converts? 3. Why were the Jewish Christians upset with Peter?
47,233,The Church in Antioch,Acts 11:19–30; Ps 142,"The influence of the gospel begins to spread outside Jerusalem and Judea to the doorway of the rest of the world. As more Gentiles come to faith in Christ, the church in Antioch forms as a central hub for missionary activity. Followers of Christ there begin to be noticed as having a distinct identity, and they soon come to claim the name, “Christians.”","Acts 11, Verse 19. Antioch. The third largest city in the Roman empire, located on the northern coast of the Mediterranean Sea. The church here becomes the most important Christian church after the church in Jerusalem and is a major missionary hub. Verse 20. Hellenists. Greek-speaking non-Jews. Verse 26. Christians. A derisive term meaning “little Christs.” Verse 28. Agabus. One of the Jerusalem prophets who would later have a significant role in Paul’s ministry (21:10–11). Verse 30. Elders. This is the first mention of the pastor-overseers of the church.","Persecution sometimes is a tool the Lord uses to spread the gospel. After the martyrdom of Stephen, many Christians fled Jerusalem and were scattered to predominantly Gentile cities. Luke narrows his narrative focus to the city of Antioch. Antioch was the third largest city in the Roman Empire at that time, with a population of around a half million people. Jewish believers dispersed from Jerusalem began to share the gospel with their kinsmen of the flesh there in Antioch. It would seem that they hadn’t yet heard about the events of the previous chapter and a half.  But then came brothers from Cyrus and Cyrene to the mission field of Antioch, and they began to proclaim the gospel to Gentiles as well. Verse 21 speaks for itself: “And the hand of the Lord was with them, and a large number who believed turned to the Lord.” How encouraging this is to us today. The early church grew not because they had the right programs, the right vibes, or the right sales pitch. Only the hand of God can save sinners. Praise God, the gospel goes forth!

The church at Jerusalem was still functioning as a “mother church” for the blossoming mission field around them. Just as Peter and John had been sent to Samaria to see the work of the Lord in person, now Barnabas is sent to Antioch. He sees with his own eyes the grace of God at work in Antioch. Barnabas the Encourager encourages the saints to press on in faithfulness to Christ. He seeks out and brings Saul of Tarsus back to see what is taking place in Antioch. They spend a year there building up the church in the Scriptures. It was there in Antioch that believers were first called Christians. They didn’t call themselves Christians (“little Christs”). A hostile, unbelieving world saw the actions of these disciples and said, “They’re acting like Jesus did.” As the gospel goes forth, let us pray that it makes such a difference in us that even the world sees our imitation of Christ.

A Jerusalem prophet named Agabus indicates by the Spirit that a large famine was coming. The text doesn’t take time to explain the nature of prophecy or even the historical details of the famine. Luke wants us to get another glimpse of how Christians cared for one another during worldwide catastrophe. Those “little Christs” gave in support of the brothers and sisters throughout Judea who were suffering during the famine. The church was focused on caring for one another because they were one in Christ. Those Christians took the words of Jesus seriously, and they loved one another (see Jn 13:35). May it be said of us.",1. Why was the church in Antioch important? 2. Why did the followers of Christ welcome the term “Christians”? 3. What does the growth and significance of this church reveal about the apostles’ obedience to Christ’s commission to them?
47,234,James Killed and Peter Imprisoned,Acts 12; Ps 143,"Persecution of the church continued to rise, now coming from the government. James becomes the first apostle to be martyred, and Peter is once again imprisoned. Yet God miraculously saves Peter, enabling him to continue in ministry as the primary focus of God’s missionary activity shifts to Paul.","Acts 12, Verse 1. Herod. This is Herod Agrippa I, grandson of Herod the Great. Verse 12. Mark. A cousin of Barnabas (Col 4:10) and an acquaintance of Peter in his youth (1 Pet 5:13). This is the same Mark who would later write the Gospel, likely with Peter’s help. Verse 15. His Angel. Jewish superstition taught that each person had his own guardian angel. Verse 17. James. The brother of Jesus and the head of the Jerusalem church.","The Spirit has poured out the life-giving gospel to the Gentiles. The church is abounding with health and vitality in Antioch. Those people were following the footsteps of Jesus so closely that they were spitefully called “little Christs,” and yet these Christians remained faithful to the Lord with steadfast purpose. Luke paints a picture of life in Antioch, but back in Jerusalem the picture is death. Herod the Great’s grandson Herod Agrippa is on the throne breathing threats of death on God’s people. In the case of the Apostle James, Herod’s threats are fulfilled. He harasses the Jerusalem church and kills the brother of the Apostle John in the first death scene in this chapter.

Herod sees that the Jews are pleased by James’ death, so he decides to arrest and begin the same death march for Peter. In eerie echoes of the death of Jesus, Herod must wait until after the feasts to present Peter to the bloodthirsty crowds. In the meantime, Peter is placed in jail and surrounded by guards. Herod doesn’t want a repeat of the embarrassing escape from chapter 5. Meanwhile, the church prayed. An angel of the Lord appears in Peter’s cell and leads him to safety in dramatic detail. Even Peter doesn’t fully understand what is happening until he is safely outside the prison and in the street. Realizing what the Lord has done, he eagerly goes to John Mark’s mother’s house to report his rescue to the saints. The church is still praying. The church didn’t seem to expect their prayers to be answered. What a challenge to us today. Let us be a church that continues steadfastly in prayer. Let us pray in faith, believing that God truly hears and answers our prayers as he sees fit. The second death scene did not end in death but Peter’s deliverance. The apostle’s supernatural rescue once again leads to “no small disturbance,” but Herod wickedly executes the guards who were unable to keep Peter in custody. They faced the same fate as the prisoner they could not contain. 

The final death in the chapter is the most gruesome of all. Herod has been at odds with the people of Tyre and Sidon, but now those leaders are seeking to make peace with him. The people cry out in flattering worship that Herod eagerly accepts (unlike Peter who rejected attempted worship in 10:26). As Herod’s heart is filled with vanity and pride, he is immediately stricken in judgment because he does not give God the glory. The arrogant ruler is brought low unto death. Yet the word of the Lord continued to grow and multiply. Out of death, the Spirit continues to bring life.",1. Why did Herod kill James and imprison Peter? 2. Why did God allow James to be killed but freed Peter? 3. What did Herod’s death reveal about God’s control of it all?
